day,month,date,sentence,photo_path,source_path
7,December,"December 7, 1787","On December 7, 1787, Delaware became the 1st state to join the United States of America!",us_history.png,Delaware
12,December,"December 12, 1787","On December 12, 1787, Pennsylvania became the 2nd state to join the United States of America!",us_history.png,Pennsylvania
18,December,"December 18, 1787","On December 18, 1787, New Jersey became the 3rd state to join the United States of America!",us_history.png,New Jersey
2,January,"January 2, 1788","On January 2, 1788, Georgia became the 4th state to join the United States of America!",us_history.png,Georgia
9,January,"January 9, 1788","On January 9, 1788, Connecticut became the 5th state to join the United States of America!",us_history.png,Connecticut
6,February,"February 6, 1788","On February 6, 1788, Massachusetts became the 6th state to join the United States of America!",us_history.png,Massachusetts
28,April,"April 28, 1788","On April 28, 1788, Maryland became the 7th state to join the United States of America!",us_history.png,Maryland
23,May,"May 23, 1788","On May 23, 1788, South Carolina became the 8th state to join the United States of America!",us_history.png,South Carolina
21,June,"June 21, 1788","On June 21, 1788, New Hampshire became the 9th state to join the United States of America!",us_history.png,New Hampshire
25,June,"June 25, 1788","On June 25, 1788, Virginia became the 10th state to join the United States of America!",us_history.png,Virginia
26,July,"July 26, 1788","On July 26, 1788, New York became the 11st state to join the United States of America!",us_history.png,New York
21,November,"November 21, 1789","On November 21, 1789, North Carolina became the 12nd state to join the United States of America!",us_history.png,North Carolina
29,May,"May 29, 1790","On May 29, 1790, Rhode Island became the 13rd state to join the United States of America!",us_history.png,Rhode Island
4,March,"March 4, 1791","On March 4, 1791, Vermont became the 14th state to join the United States of America!",us_history.png,Vermont
1,June,"June 1, 1792","On June 1, 1792, Kentucky became the 15th state to join the United States of America!",us_history.png,Kentucky
1,June,"June 1, 1796","On June 1, 1796, Tennessee became the 16th state to join the United States of America!",us_history.png,Tennessee
1,March,"March 1, 1803","On March 1, 1803, Ohio became the 17th state to join the United States of America!",us_history.png,Ohio
30,April,"April 30, 1812","On April 30, 1812, Louisiana became the 18th state to join the United States of America!",us_history.png,Louisiana
11,December,"December 11, 1816","On December 11, 1816, Indiana became the 19th state to join the United States of America!",us_history.png,Indiana
10,December,"December 10, 1817","On December 10, 1817, Mississippi became the 20th state to join the United States of America!",us_history.png,Mississippi
3,December,"December 3, 1818","On December 3, 1818, Illinois became the 21st state to join the United States of America!",us_history.png,Illinois
