State,Date(admitted or ratified),Formed from,state,rank,year,day,month,date,sentence
Delaware,"December 7, 1787[8](ratified)",Colony of Delaware[b],1,1st,1787,7,December,"December 7, 1787","On December 7, 1787, Delaware became the 1st state to join the United States of America!"
Pennsylvania,"December 12, 1787[10](ratified)",Proprietary Province of Pennsylvania,2,2nd,1787,12,December,"December 12, 1787","On December 12, 1787, Pennsylvania became the 2nd state to join the United States of America!"
New Jersey,"December 18, 1787[11](ratified)",Crown Colony of New Jersey,3,3rd,1787,18,December,"December 18, 1787","On December 18, 1787, New Jersey became the 3rd state to join the United States of America!"
Georgia,"January 2, 1788[8](ratified)",Crown Colony of Georgia,4,4th,1788,2,January,"January 2, 1788","On January 2, 1788, Georgia became the 4th state to join the United States of America!"
Connecticut,"January 9, 1788[12](ratified)",Crown Colony of Connecticut,5,5th,1788,9,January,"January 9, 1788","On January 9, 1788, Connecticut became the 5th state to join the United States of America!"
Massachusetts,"February 6, 1788[8](ratified)",Crown Colony of Massachusetts Bay,6,6th,1788,6,February,"February 6, 1788","On February 6, 1788, Massachusetts became the 6th state to join the United States of America!"
Maryland,"April 28, 1788[8](ratified)",Proprietary Province of Maryland,7,7th,1788,28,April,"April 28, 1788","On April 28, 1788, Maryland became the 7th state to join the United States of America!"
South Carolina,"May 23, 1788[8](ratified)",Crown Colony of South Carolina,8,8th,1788,23,May,"May 23, 1788","On May 23, 1788, South Carolina became the 8th state to join the United States of America!"
New Hampshire,"June 21, 1788[8](ratified)",Crown Colony of New Hampshire,9,9th,1788,21,June,"June 21, 1788","On June 21, 1788, New Hampshire became the 9th state to join the United States of America!"
Virginia,"June 25, 1788[8](ratified)",Crown Colony and Dominion of Virginia,10,10th,1788,25,June,"June 25, 1788","On June 25, 1788, Virginia became the 10th state to join the United States of America!"
New York,"July 26, 1788[13](ratified)",Crown Colony of New York,11,11st,1788,26,July,"July 26, 1788","On July 26, 1788, New York became the 11st state to join the United States of America!"
North Carolina,"November 21, 1789[14](ratified)",Crown Colony of North Carolina,12,12nd,1789,21,November,"November 21, 1789","On November 21, 1789, North Carolina became the 12nd state to join the United States of America!"
Rhode Island,"May 29, 1790[8](ratified)",Crown Colony of Rhode Island and Providence Plantations,13,13rd,1790,29,May,"May 29, 1790","On May 29, 1790, Rhode Island became the 13rd state to join the United States of America!"
Vermont,"March 4, 1791[15](admitted)",Vermont Republic[c],14,14th,1791,4,March,"March 4, 1791","On March 4, 1791, Vermont became the 14th state to join the United States of America!"
Kentucky,"June 1, 1792[16](admitted)",Virginia (nine counties in its District of Kentucky[d]),15,15th,1792,1,June,"June 1, 1792","On June 1, 1792, Kentucky became the 15th state to join the United States of America!"
Tennessee,"June 1, 1796[18](admitted)",Southwest Territory,16,16th,1796,1,June,"June 1, 1796","On June 1, 1796, Tennessee became the 16th state to join the United States of America!"
Ohio,"March 1, 1803[19][e](admitted)",Northwest Territory (part),17,17th,1803,1,March,"March 1, 1803","On March 1, 1803, Ohio became the 17th state to join the United States of America!"
Louisiana,"April 30, 1812[21](admitted)",Territory of Orleans,18,18th,1812,30,April,"April 30, 1812","On April 30, 1812, Louisiana became the 18th state to join the United States of America!"
Indiana,"December 11, 1816(admitted)",Indiana Territory,19,19th,1816,11,December,"December 11, 1816","On December 11, 1816, Indiana became the 19th state to join the United States of America!"
Mississippi,"December 10, 1817[22](admitted)",Mississippi Territory,20,20th,1817,10,December,"December 10, 1817","On December 10, 1817, Mississippi became the 20th state to join the United States of America!"
Illinois,"December 3, 1818[23](admitted)",Illinois Territory (part),21,21st,1818,3,December,"December 3, 1818","On December 3, 1818, Illinois became the 21st state to join the United States of America!"
Alabama,"December 14, 1819[24](admitted)",Alabama Territory,22,22nd,1819,14,December,"December 14, 1819","On December 14, 1819, Alabama became the 22nd state to join the United States of America!"
Maine,"March 15, 1820[25](admitted)",Massachusetts (District of Maine[f]),23,23rd,1820,15,March,"March 15, 1820","On March 15, 1820, Maine became the 23rd state to join the United States of America!"
Missouri,"August 10, 1821[26](admitted)",Missouri Territory (part),24,24th,1821,10,August,"August 10, 1821","On August 10, 1821, Missouri became the 24th state to join the United States of America!"
